veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,severity,frequincy,pure_premium
1060.0,0.3,0,0,0.0,HBACK,3,F,C,2,0.0,0.0,0.0
1030.0,0.65,0,0,0.0,HBACK,2,F,A,4,0.0,0.0,0.0
3260.0,0.57,0,0,0.0,UTE,2,F,E,2,0.0,0.0,0.0
4140.0,0.32,0,0,0.0,STNWG,2,F,D,2,0.0,0.0,0.0
720.0,0.65,0,0,0.0,HBACK,4,F,C,2,0.0,0.0,0.0
2009.9999999999998,0.85,0,0,0.0,HDTOP,3,M,C,4,0.0,0.0,0.0
1600.0,0.85,0,0,0.0,PANVN,3,M,A,4,0.0,0.0,0.0
1470.0,0.56,0,0,0.0,HBACK,2,M,B,6,0.0,0.0,0.0
520.0,0.36,0,0,0.0,HBACK,4,F,A,3,0.0,0.0,0.0
380.0,0.52,0,0,0.0,HBACK,4,F,B,4,0.0,0.0,0.0
1380.0,0.85,0,0,0.0,HBACK,2,M,A,2,0.0,0.0,0.0
1220.0,0.85,0,0,0.0,HBACK,3,M,C,4,0.0,0.0,0.0
1000.0,0.49,0,0,0.0,HBACK,2,F,C,4,0.0,0.0,0.0
7040.0,0.31,0,0,0.0,STNWG,1,M,A,5,0.0,0.0,0.0
1660.0,0.48,1,1,669.50999928,SEDAN,3,M,B,6,670.0,2.06,1382.0
2350.0,0.39,0,0,0.0,SEDAN,2,M,C,4,0.0,0.0,0.0
1510.0,0.99,1,1,806.6099987,SEDAN,3,F,F,4,807.0,1.01,812.0
760.0,0.54,1,1,401.80545139,HBACK,3,M,C,4,402.0,1.85,745.0
270.0,0.45,0,0,0.0,HBACK,4,F,D,2,0.0,0.0,0.0
890.0,0.59,0,0,0.0,HBACK,3,F,C,3,0.0,0.0,0.0
1950.0,0.59,0,0,0.0,HBACK,1,M,A,1,0.0,0.0,0.0
390.0,0.54,0,0,0.0,SEDAN,4,M,C,5,0.0,0.0,0.0
3860.0,0.59,0,0,0.0,STNWG,2,F,B,2,0.0,0.0,0.0
1370.0,0.59,0,0,0.0,HBACK,1,F,B,1,0.0,0.0,0.0
1300.0,1.0,0,0,0.0,HBACK,2,F,A,2,0.0,0.0,0.0
