iter	MultiClass
0	1.788473543
1	1.785334723
2	1.782344524
3	1.7794694
4	1.776739528
5	1.774132819
6	1.771641908
7	1.769215358
8	1.766891499
9	1.764697257
10	1.762595994
11	1.760582793
12	1.7586531
13	1.756745791
14	1.754909249
15	1.753148354
16	1.751457109
17	1.749856153
18	1.748309954
19	1.746798606
20	1.745345655
21	1.743934479
22	1.742617762
23	1.741331296
24	1.740066749
25	1.738850577
26	1.737684934
27	1.736563341
28	1.735480414
29	1.734434751
30	1.73345031
31	1.732476499
32	1.731550717
33	1.73065837
34	1.729782195
35	1.728953472
36	1.728125571
37	1.72735683
38	1.726593036
39	1.725858544
40	1.725130653
41	1.724415967
42	1.723739015
43	1.723066111
44	1.722414961
45	1.721800792
46	1.721200168
47	1.720606265
48	1.720045364
49	1.719498256
50	1.718959023
51	1.718456738
52	1.717969726
53	1.717476594
54	1.716987899
55	1.716536578
56	1.716082953
57	1.715653965
58	1.715206481
59	1.71480629
60	1.714352929
61	1.713916612
62	1.713548738
63	1.713193547
64	1.712847656
65	1.712489776
66	1.712139681
67	1.711801117
68	1.711459831
69	1.711145217
70	1.710835021
71	1.710543312
72	1.710247843
73	1.709961227
74	1.709701731
75	1.709415178
76	1.709153169
77	1.708900722
78	1.708659243
79	1.70836633
80	1.708063811
81	1.707845615
82	1.707623352
83	1.707399257
84	1.707176798
85	1.706924467
86	1.706687669
87	1.706501056
88	1.706314556
89	1.706123274
90	1.705873518
91	1.705681926
92	1.70549328
93	1.705259261
94	1.70503455
95	1.704853532
96	1.704663871
97	1.704492279
98	1.704314403
99	1.704112223
100	1.703949545
101	1.703793706
102	1.703635529
103	1.70346689
104	1.703314004
105	1.703133767
106	1.702990312
107	1.702824565
108	1.702696731
109	1.702558299
110	1.702402558
111	1.702272811
112	1.702114131
113	1.701970794
114	1.701834671
115	1.701699489
116	1.701560155
117	1.701431864
