iter	Passed	Remaining
0	64	7542
1	123	7142
2	176	6757
3	231	6597
4	285	6441
5	341	6381
6	396	6286
7	453	6233
8	500	6066
9	548	5920
10	611	5945
11	666	5883
12	715	5781
13	765	5686
14	808	5553
15	858	5473
16	905	5381
17	949	5276
18	995	5188
19	1050	5148
20	1139	5262
21	1202	5246
22	1263	5219
23	1323	5185
24	1380	5135
25	1437	5085
26	1497	5047
27	1551	4985
28	1605	4926
29	1661	4873
30	1712	4805
31	1764	4743
32	1818	4684
33	1869	4617
34	1919	4551
35	1967	4481
36	2011	4403
37	2058	4333
38	2105	4265
39	2151	4194
40	2197	4126
41	2244	4061
42	2289	3993
43	2341	3938
44	2428	3939
45	2486	3892
46	2544	3844
47	2606	3800
48	2660	3746
49	2716	3694
50	2777	3649
51	2831	3594
52	2887	3541
53	2940	3485
54	2989	3424
55	3042	3368
56	3097	3314
57	3152	3260
58	3206	3206
59	3253	3145
60	3320	3102
61	3392	3064
62	3451	3013
63	3511	2962
64	3566	2908
65	3619	2851
66	3671	2794
67	3733	2745
68	3799	2697
69	3859	2646
70	3915	2591
71	3966	2534
72	4037	2489
73	4154	2470
74	4238	2430
75	4308	2381
76	4373	2328
77	4440	2277
78	4501	2222
79	4569	2170
80	4739	2164
81	4843	2126
82	4955	2089
83	5141	2081
84	5249	2038
85	5315	1977
86	5375	1915
87	5435	1853
88	5487	1787
89	5544	1724
90	5602	1662
91	5659	1599
92	5718	1537
93	5773	1474
94	5832	1412
95	5933	1359
96	5992	1297
97	6058	1236
98	6124	1175
99	6184	1113
100	6240	1050
101	6301	988
102	6359	926
103	6415	863
104	6477	801
105	6543	740
106	6676	686
107	6826	632
108	6903	570
109	6971	507
110	7053	444
111	7123	381
112	7189	318
113	7250	254
114	7314	190
115	7375	127
116	7437	63
117	7500	0
