iter	RMSE
0	976.3577371
1	933.3156248
2	895.9122089
3	868.6078434
4	845.9171461
5	828.921361
6	812.5229477
7	798.8750336
8	787.8168436
9	778.9479404
10	771.6819151
11	764.9437008
12	759.6844963
13	754.8749134
14	750.1946373
15	746.8722608
16	743.4787096
17	741.3007691
18	738.8726117
19	736.6083078
20	734.8621503
21	733.1431296
22	731.7781347
23	729.857574
24	728.5129145
25	727.0137867
26	726.2138187
27	725.4410172
28	724.1163442
29	723.3029037
30	722.0173166
31	720.9047555
32	720.3404176
33	719.6255474
34	718.5401315
35	717.9665988
36	716.7114218
37	715.888883
38	715.2996759
39	714.6149278
40	713.6224944
41	712.7378299
42	712.1628377
43	711.4288491
44	710.2949152
45	709.3433814
46	708.5860354
47	707.9923195
48	706.8736087
49	706.1737348
50	705.3925012
51	704.922089
52	704.3969847
53	703.2858839
54	702.308364
55	701.385776
56	701.0244632
57	700.332022
58	699.6133208
59	699.0377192
60	698.2077249
61	697.8226699
62	697.2873462
63	696.7423385
64	696.1701438
65	695.1571661
66	694.61627
67	694.1645313
68	693.4997526
69	693.0657614
70	692.2591904
71	691.4023545
72	690.93583
73	690.5285844
74	690.1484641
75	689.2110336
76	688.8586949
77	688.3537471
78	687.5581311
79	686.5857861
80	685.8754799
81	685.558922
82	685.3064586
83	684.8698023
84	684.6311312
85	683.8563839
86	683.6581634
87	683.2934037
88	682.8780793
89	682.4756304
90	682.1314901
91	681.6687082
92	681.3195343
93	681.0386308
94	680.8237
95	680.6381652
96	680.3356428
97	680.1816247
98	680.0526036
99	679.9438055
100	679.8772415
101	679.7866993
102	679.7286288
103	679.6762628
104	679.0053243
105	678.743163
106	678.4974431
107	677.9415111
108	677.1283128
109	676.7900673
110	676.2963372
111	676.1297525
112	675.4627494
113	675.0473693
