iter	Passed	Remaining
0	11	985
1	23	1008
2	33	958
3	48	1014
4	64	1066
5	78	1078
6	95	1107
7	110	1100
8	125	1099
9	142	1109
10	169	1189
11	187	1190
12	205	1183
13	222	1178
14	238	1162
15	255	1149
16	275	1150
17	301	1172
18	330	1199
19	348	1183
20	367	1171
21	381	1143
22	395	1117
23	409	1092
24	420	1060
25	432	1030
26	446	1007
27	458	983
28	469	955
29	481	930
30	493	906
31	508	889
32	537	896
33	553	878
34	568	860
35	588	849
36	611	843
37	629	828
38	646	811
39	660	792
40	675	774
41	691	757
42	704	737
43	716	716
44	729	697
45	742	678
46	758	661
47	770	641
48	781	622
49	793	603
50	806	585
51	821	568
52	832	550
53	843	530
54	854	512
55	867	495
56	879	478
57	890	460
58	901	442
59	912	425
60	922	408
61	933	391
62	945	375
63	957	359
64	969	342
65	981	327
66	991	310
67	1002	294
68	1013	278
69	1023	263
70	1035	247
71	1045	232
72	1056	217
73	1067	201
74	1079	187
75	1090	172
76	1100	157
77	1110	142
78	1122	127
79	1132	113
80	1142	98
81	1152	84
82	1162	70
83	1173	55
84	1183	41
85	1193	27
86	1203	13
87	1214	0
